Title,Available Globally,Release Date,Hours Viewed,Month
Treason: Limited Series,1,2022-12-26,74300000,2022-12
Trolls,0,,73400000,
Blood Ties: Season 1 // Las Villamizar: Season 1,0,,73300000,
Money Heist: Part 1 // La casa de papel: Parte 1,1,2017-07-01,73100000,2017-07
Rough Diamonds: Season 1,1,2023-04-21,72800000,2023-04
Vincenzo: Season 1 // 빈센조: 시즌 1,1,2021-02-20,72800000,2021-02
The Walking Dead: Season 10,0,,72200000,
The Witcher: Season 1,1,2019-12-20,72200000,2019-12
Gabby's Dollhouse: Season 1,1,2021-01-05,71600000,2021-01
The Walking Dead: Season 3,0,,71600000,
Carrossel,0,,71300000,
Gilmore Girls: Season 3,1,,71300000,
Red Rose: Season 1,1,2023-02-15,71100000,2023-02
Fauda: Season 4 // פאודה: עונה 4,1,2023-01-20,71000000,2023-01
New Amsterdam (2018): Season 3,0,,70600000,
Gilmore Girls: Season 5,1,,69900000,
Gilmore Girls: Season 4,1,,69800000,
The Blacklist: Season 2,0,,69700000,
"Divorce Attorney Shin: Limited Series // 신성한, 이혼: 리미티드 시리즈",1,2023-03-04,69500000,2023-03
Stranger Things 2,1,2017-10-27,69200000,2017-10
Hometown Cha-Cha-Cha: Season 1 // 갯마을 차차차: 시즌 1,1,2021-08-28,69000000,2021-08
Love Is Blind: Season 3,1,2022-10-19,68900000,2022-10
Kill Boksoon // 길복순,1,2023-03-31,68500000,2023-03
The Thundermans: Season 1,0,,68500000,
The Flash (2014): Season 1,0,,68200000,
Red Notice,1,2021-11-12,68100000,2021-11
Henry Danger: Season 1,0,,67800000,
The Queen of Flow: Season 2 // La reina del flow: Temporada 2,0,2021-11-17,67800000,2021-11
The Walking Dead: Season 2,0,,67700000,
Viking Wolf // Vikingulven,1,2023-02-03,67500000,2023-02
Designated Survivor: Season 2,1,2017-09-28,67200000,2017-09
Bebefinn: Season 1,1,,67100000,
Hotel Transylvania 2,0,,67000000,
Stranger Things 3,1,2019-07-04,67000000,2019-07
Masha and the Bear: Season 1,0,,66700000,
Outlander: Season 1,0,2016-03-31,66500000,2016-03
Grizzy and the Lemmings: Season 2,0,,66000000,
Single’s Inferno: Season 2 // 솔로지옥: 시즌 2,1,2022-12-13,65900000,2022-12
The Witcher: Blood Origin: Limited Series,1,2022-12-25,65300000,2022-12
The Nurse: Limited Series // Sygeplejersken: Miniserie,1,2023-04-27,65200000,2023-04
The Watcher: Season 1,1,2022-10-13,64400000,2022-10
Jumanji: The Next Level,0,,64300000,
Suits (2011): Season 4,1,,64200000,
Gilmore Girls: Season 6,1,,63900000,
The Tailor: Season 1 // Terzi: 1. Sezon,1,2023-05-02,63900000,2023-05
All American: Season 5,0,,63700000,
Peppa Pig: Season 2,0,,63700000,
DAHMER: Monster: The Jeffrey Dahmer Story,1,2022-09-21,63500000,2022-09
The Blacklist: Season 3,0,,63500000,
Narvik,0,2023-01-23,63100000,2023-01
Home (2015),0,,62800000,
The Sea Beast,1,2022-07-08,62700000,2022-07
The Walking Dead: Season 4,0,,62300000,
Harry & Meghan: Limited Series,1,2022-12-08,62000000,2022-12
The Walking Dead: Season 5,0,,62000000,
My Dad the Bounty Hunter: Season 1,1,2023-02-09,61800000,2023-02
Dog Gone,1,2023-01-13,61600000,2023-01
Maid: Limited Series,1,2021-10-01,61500000,2021-10
Pasión de Gavilanes: Season 2,0,,61500000,
A Man Called Otto,0,,61300000,
Peaky Blinders: Season 1,0,2014-09-30,61100000,2014-09
Victorious: Season 1,0,,61100000,
Never Have I Ever: Season 1,1,2020-04-27,61000000,2020-04
THE DAYS: Limited Series,0,2023-06-01,60800000,2023-06
Eva Lasting: Season 1 // La primera vez: Temporada 1,1,2023-02-15,60600000,2023-02
Unseen: Season 1,1,2023-03-29,60100000,2023-03
Narcos: Season 1,1,2015-08-28,59900000,2015-08
The Walking Dead: Season 6,0,,59800000,
MADOFF: The Monster of Wall Street: Limited Series,1,2023-01-04,59600000,2023-01
The Witcher: Season 2,1,2021-12-17,59300000,2021-12
Sky Rojo: Season 3,1,2023-01-13,58500000,2023-01
Young Lady and Gentleman // 신사와 아가씨,0,,58500000,
Miraculous: Tales of Ladybug & Cat Noir: Season 1,0,,58300000,
Never Have I Ever: Season 3,1,2022-08-12,58300000,2022-08
The Gray Man,1,2022-07-22,58300000,2022-07
S.W.A.T. (2017): Season 2,0,,57900000,
ONE PIECE: East Blue // ワンピース: イーストブルー編,0,,57800000,
Brooklyn Nine-Nine: Season 1,0,,57500000,
New Amsterdam (2018): Season 4,0,,57500000,
Workin' Moms: Season 7,0,2023-04-26,57500000,2023-04
Barbie Life in the Dreamhouse: Season 1,1,,57400000,
The Walking Dead: Season 7,0,,57400000,
The Blacklist: Season 8,0,,57000000,
The Sandman: Season 1,1,2022-08-05,56700000,2022-08
True Spirit,1,2023-02-03,56700000,2023-02
CoComelon: Season 5,0,2022-03-31,56600000,2022-03
Gilmore Girls: Season 7,1,,56500000,
The Strays,1,2023-02-22,56500000,2023-02
Suits (2011): Season 5,1,,56400000,
The Croods,0,,56400000,
Grizzy and the Lemmings: Season 1,0,,56300000,
The Empress: Season 1 // Die Kaiserin: Staffel 1,1,2022-09-29,56000000,2022-09
Matilda (1996),0,,55700000,
Outlast: Season 1,1,2023-03-10,55500000,2023-03
The Good Doctor: Season 1,0,,55500000,
CoComelon: Season 7,0,2023-02-14,55200000,2023-02
Jane The Virgin: Season 1,1,,55200000,
The Blacklist: Season 4,0,,55200000,
VINLAND SAGA: Season 2 // ヴィンランド・サガ: シーズン2,0,,55100000,
The Queen of Flow: Season 1 // La reina del flow: Temporada 1,0,2018-11-09,55000000,2018-11
Brooklyn Nine-Nine: Season 2,0,,54800000,
Carinha de Anjo: Season 1,0,,54400000,
"Surviving Escobar - Alias JJ: Season 1 // Sobreviviendo a Escobar, Alias JJ: Temporada 1",0,2017-07-31,54400000,2017-07
The Circle: Season 5,1,2022-12-28,54400000,2022-12
The Ultimatum: Queer Love: Season 1,1,2023-05-24,53800000,2023-05
Never Have I Ever: Season 2,1,2021-07-15,53700000,2021-07
Brooklyn Nine-Nine: Season 3,0,,53600000,
¡Que viva México!,1,2023-05-11,53500000,2023-05
Emily in Paris: Season 2,1,2021-12-22,53300000,2021-12
The Last Kingdom: Season 5,0,2022-03-09,53300000,2022-03
Full Swing: Season 1,1,2023-02-15,53100000,2023-02
The Walking Dead: Season 8,0,,53000000,
Welcome to Eden: Season 1 // Bienvenidos a Edén: Temporada 1,1,2022-05-06,53000000,2022-05
We Can Be Heroes,1,2020-12-25,52800000,2020-12
Arnold: Limited Series,1,2023-06-07,52500000,2023-06
Better Call Saul: Season 1,0,2015-02-08,52500000,2015-02
The King's Affection: Season 1 // 연모: 시즌 1,1,2021-10-11,52400000,2021-10
Shameless (U.S.): Season 1,0,,52300000,
Missing: Dead or Alive?: Season 1,1,2023-05-10,52200000,2023-05
Bodyguard: Season 1,1,2018-10-24,52000000,2018-10
Dr. Seuss' The Lorax,0,,52000000,
1899: Season 1,1,2022-11-17,51800000,2022-11
A Tourist's Guide to Love,1,2023-04-21,51800000,2023-04
It's Okay to Not Be Okay: Season 1 // 사이코지만 괜찮아: 시즌 1,1,2020-06-20,51800000,2020-06
Vikings (2013): Season 4,0,,51800000,
Faraway,1,2023-03-08,51700000,2023-03
Blood & Gold,1,2023-05-26,51600000,2023-05
I Am Georgina: Season 2 // Soy Georgina: Temporada 2,1,2023-03-24,51600000,2023-03
The Blacklist: Season 5,0,,51600000,
Little Women: Limited Series // 작은 아씨들: 리미티드 시리즈,0,2022-09-03,51300000,2022-09
Grey's Anatomy: Season 2,0,,51200000,
The Walking Dead: Season 9,0,,51200000,
The Office (U.S.): Season 3,0,,51000000,
The Last Kingdom: Season 1,1,2015-12-28,50900000,2015-12
The Endless Night: Limited Series // Todo Dia a Mesma Noite: Minissérie,1,2023-01-25,50800000,2023-01
Faithfully Yours,0,2023-05-17,50600000,2023-05
Masha and the Bear: Season 3,0,,50400000,
Masha and the Bear: Season 5,0,,50300000,
The Office (U.S.): Season 5,0,,50100000,
2 Hearts,0,,50000000,
Suits (2011): Season 6,1,,50000000,
Tin & Tina,1,2023-05-26,49700000,2023-05
The Blacklist: Season 6,0,,49600000,
Friends (1994): Season 6,0,,49400000,
Love Is Blind: Brazil: Season 2 // Casamento às Cegas: Brasil: Temporada 2,1,2022-12-28,49300000,2022-12
VINLAND SAGA: Season 1 // ヴィンランド・サガ: シーズン1,1,,49300000,
"Newly Rich, Newly Poor: Season 1 // Nuevo rico, nuevo pobre: Temporada 1",0,,49200000,
The Lincoln Lawyer: Season 1,1,2022-05-13,49200000,2022-05
Brooklyn Nine-Nine: Season 4,0,,48900000,
Cobra Kai: Season 5,1,2022-09-09,48900000,2022-09
Orange Is the New Black: Season 1,1,2013-07-11,48800000,2013-07
El final del paraíso: Season 1,0,,48600000,
Shooter: Season 1,0,2016-11-16,48600000,2016-11
Brooklyn Nine-Nine: Season 5,0,,48500000,
Rosario Tijeras (Mexico): Season 1,0,,48500000,
The Smurfs (2021): Season 1,0,,48400000,
Emily in Paris: Season 1,1,2020-10-02,48300000,2020-10
The Magician's Elephant,1,2023-03-17,48300000,2023-03
Friends (1994): Season 5,0,,48200000,
Shrek,0,,48100000,
Suits (2011): Season 7,1,,48100000,
Teen Titans Go!: Season 5,0,,48100000,
American Manhunt: The Boston Marathon Bombing: Limited Series,1,2023-04-12,47900000,2023-04
Twenty Five Twenty One: Season 1 // 스물다섯 스물하나: 시즌 1,1,2022-02-12,47800000,2022-02
Shrek 2,0,,47500000,
JUNG_E // 정이,1,2023-01-20,47100000,2023-01
Friends (1994): Season 3,0,,46900000,
The School for Good and Evil,1,2022-10-19,46900000,2022-10
Puss in Boots (2011),0,,46600000,
The Thundermans: Season 2,0,,46500000,
Friends (1994): Season 1,0,,46400000,
Teen Titans Go!: Season 1,0,,46400000,
Rana Naidu: Season 1 // राणा नायडू: सीज़न 1,1,2023-03-10,46300000,2023-03
From Scratch: Limited Series,1,2022-10-21,46200000,2022-10
Bake Squad: Season 2,1,2023-01-20,46100000,2023-01
Friends (1994): Season 7,0,,46100000,
Under the Queen's Umbrella: Limited Series // 슈룹: 리미티드 시리즈,1,2022-10-15,46100000,2022-10
Ganglands: Season 2 // Braqueurs : La série: Saison 2,1,2023-02-17,46000000,2023-02
The Queen's Gambit: Limited Series,1,2020-10-23,45900000,2020-10
Virgin River: Season 4,1,2022-07-20,45900000,2022-07
Gabby's Dollhouse: Season 7,1,2023-03-20,45800000,2023-03
A Beautiful Life,1,2023-06-01,45700000,2023-06
Peppa Pig: Season 6,0,,45700000,
Copycat Killer: Season 1 // 模仿犯: 第 1 季,1,2023-03-31,45600000,2023-03
Avatar: The Last Airbender: Book 1,0,,45500000,
Friends (1994): Season 9,0,,45400000,
Peaky Blinders: Season 2,0,2014-11-14,45400000,2014-11
The Flash (2014): Season 2,0,,45400000,
Boys Over Flowers: Volume 1 // 꽃보다 남자: 1권,0,,45300000,
The Office (U.S.): Season 2,0,,45300000,
Transatlantic: Limited Series,1,2023-04-07,45300000,2023-04
Friends (1994): Season 4,0,,45200000,
Masha and the Bear: Season 2,0,,45100000,
Friends (1994): Season 8,0,,44900000,
The Woman King,0,,44900000,
Love Island USA: Season 2,0,,44800000,
Money Heist: Part 5 // La casa de papel: Parte 5,1,2021-09-03,44700000,2021-09
The Walking Dead: Season 1,0,,44600000,
Grey's Anatomy: Season 3,0,,44300000,
S.W.A.T. (2017): Season 3,0,,44200000,
Las muñecas de la mafia: Season 1,0,2015-07-01,44000000,2015-07
Lucifer: Season 4,0,2019-05-08,44000000,2019-05
Better Call Saul: Season 5,0,2020-02-24,43900000,2020-02
Teen Wolf (2011): Season 3,0,,43900000,
Friends (1994): Season 2,0,,43800000,
In Love All Over Again: Season 1 // Todas las veces que nos enamoramos: Season 1,1,2023-02-14,43800000,2023-02
PIECES OF HER: Season 1,1,2022-03-04,43800000,2022-03
F9: The Fast Saga,0,,43700000,
The 100: Season 1,0,,43600000,
The Blacklist: Season 7,0,,43500000,
Vikings (2013): Season 5,0,,43400000,
Shameless (U.S.): Season 2,0,,43300000,
The Office (U.S.): Season 6,0,,43300000,
El Chema: Season 1,0,,43200000,
Rosario Tijeras (Mexico): Season 2,0,,43200000,
Santiago of the Seas: Season 1,0,,43200000,
Seinfeld: Season 6,1,,43200000,
Inside Man: Season 1,1,2022-10-31,43100000,2022-10
The Last Kingdom: Season 4,0,2020-04-26,42900000,2020-04
Through My Window 2: Across the Sea // A través de mi ventana 2: A través del mar,1,2023-06-23,42900000,2023-06
CoComelon: Season 6,1,2022-09-05,42800000,2022-09
Seinfeld: Season 4,1,,42800000,
Valeria: Season 3,1,2023-06-02,42800000,2023-06
Pokémon The Series: Indigo League: Season 1 // ポケットモンスター,0,,42700000,
Purple Hearts,1,2022-07-29,42700000,2022-07
The Last Kingdom: Season 3,1,2018-11-19,42700000,2018-11
Waco: American Apocalypse: Limited Series,1,2023-03-22,42700000,2023-03
Gabby's Dollhouse: Season 2,1,2021-08-10,42600000,2021-08
Too Hot to Handle: Season 4,1,2022-12-07,42600000,2022-12
Guillermo del Toro’s Pinocchio,1,2022-12-09,42500000,2022-12
Unlocked // 스마트폰을 떨어뜨렸을 뿐인데,1,2023-02-17,42500000,2023-02
The Crown: Season 1,1,2016-11-04,42400000,2016-11
Arrow: Season 1,0,,42300000,
Blippi's Adventures: Season 1,1,,42100000,
The Good Doctor: Season 4,0,,42100000,
Lucifer: Season 6,0,2021-09-10,41800000,2021-09
"Pamela, a love story",1,2023-01-31,41800000,2023-01
Chor Nikal Ke Bhaga // चोर निकल के भागा,1,2023-03-24,41700000,2023-03
Seinfeld: Season 7,1,,41700000,
The Garfield Show: Season 1,0,,41500000,
Agency: Season 1 // 대행사: 시즌 1,0,,41400000,
White Chicks,0,,41400000,
Wellmania: Season 1,1,2023-03-29,41300000,2023-03
Seinfeld: Season 3,1,,41200000,
The Creature Cases: Chapter 1,1,2022-04-12,41200000,2022-04
Maestro in Blue: Season 1 // Maestro: Season 1,1,2022-12-18,41100000,2022-12
Turbo (2013),0,,41100000,
McGREGOR FOREVER: Limited Series,1,2023-05-17,41000000,2023-05
Black Money Love: Season 1 // Kara Para Ask: Sezon 1,0,,40900000,
Bloodshot (2020),0,,40900000,
The Flash (2014): Season 8,0,,40900000,
El Chapo: Season 1,1,2017-06-16,40600000,2017-06
Shameless (U.S.): Season 3,0,,40600000,
Demon Slayer: Kimetsu no Yaiba: Swordsmith Village Arc // 鬼滅の刃: 刀鍛冶の里編,0,,40500000,
Jane The Virgin: Season 2,0,,40400000,
The Snitch Cartel: Origins: Season 1 // El cartel de los sapos: El origen: Temporada 1,0,2021-07-28,40400000,2021-07
Guillermo del Toro's Cabinet of Curiosities: Season 1,1,2022-10-25,40300000,2022-10
Pokémon Journeys: The Series: Season 1,0,,40300000,
Seinfeld: Season 5,1,,40300000,
Shrek Forever After,0,,40300000,
The 100: Season 2,0,,40300000,
Unsolved Mysteries: Volume 3,1,2022-10-18,40300000,2022-10
Better Call Saul: Season 3,0,2017-04-11,40200000,2017-04
The Last Kingdom: Season 2,1,2017-03-20,40200000,2017-03
Too Hot to Handle: Germany: Season 1,1,2023-02-28,40200000,2023-02
Avatar: The Last Airbender: Book 3,0,,40100000,
Our Planet,1,2019-04-05,40100000,2019-04
H2O: Just Add Water: Season 1,0,,40000000,
The King: Eternal Monarch: Season 1 // 더 킹: 영원의 군주: 시즌 1,1,2020-04-17,39900000,2020-04
The Office (U.S.): Season 7,0,,39900000,
Grey's Anatomy: Season 5,0,,39800000,
Emergency: NYC: Season 1,1,2023-03-29,39700000,2023-03
In the Name of God: A Holy Betrayal: Season 1 // 나는 신이다: 신이 배신한 사람들: 시즌 1,1,2023-03-03,39700000,2023-03
Better Call Saul: Season 2,0,2016-02-15,39500000,2016-02
Gabby's Dollhouse: Season 6,1,2022-11-01,39500000,2022-11
Infiesto,1,2023-02-03,39500000,2023-02
Sanctuary: Season 1 // サンクチュアリ -聖域-: シーズン1,0,2023-05-04,39400000,2023-05
Suits (2011): Season 8,0,,39400000,
Ganglands: Season 1 // Braqueurs : La série: Saison 1,1,2021-09-24,39300000,2021-09
The Hunger Games,0,,39300000,
Trolley: Limited Series // 트롤리: 리미티드 시리즈,1,2022-12-19,39200000,2022-12
High Heat: Season 1 // Donde hubo fuego: Season 1,1,2022-08-17,39100000,2022-08
Rosario Tijeras (Mexico): Season 3,0,,38900000,
The Sinner: Season 4: Percy,0,2022-01-26,38900000,2022-01
Avatar: The Last Airbender: Book 2,0,,38700000,
Ozark: Season 4,1,2022-01-21,38700000,2022-01
Shark Tale,0,,38700000,
The Hatchet Wielding Hitchhiker,1,2023-01-10,38700000,2023-01
6 Underground,1,2019-12-13,38600000,2019-12
Better Call Saul: Season 4,0,2018-08-07,38600000,2018-08
Narcos: Season 2,1,2016-09-02,38600000,2016-09
Grey's Anatomy: Season 6,0,,38400000,
Mother's Day // Dzień Matki,1,2023-05-24,38300000,2023-05
Orange Is the New Black: Season 2,1,2014-06-06,38300000,2014-06
Vikings (2013): Season 6,0,,38300000,
El Chapo: Season 2,1,2017-12-15,38200000,2017-12
Brooklyn Nine-Nine: Season 6,0,,38100000,
Queer Eye: Season 7,1,2023-05-12,38100000,2023-05
